GeneSet	DESC	GeneSet,Genes
ACSM2A	ACSM2A	ACSM2A,ACSM2B,ACADS,HSDL2,CS,GLYAT,SLC22A25,ALDH8A1,ACSF2,AASDH,IVD
ACSM2B	ACSM2B	ACSM2B,ACSM2A,ACADS,HSDL2,GLYAT,CS,AASDH,IVD,ACSF2,HADHB,HTD2
ACSM3	ACSM3	ACSM3,ACADS,EHHADH,HSDL2,CS,ACADL,HADH,NUDT19,SLC7A13,ACOX2,HADHB
ACSM4	ACSM4	ACSM4,ACADS,HSDL2,CS,ECI2,ACOX2,ACAA2,HADHB,ACADL,ACSF2,ACAT1
ACSM5	ACSM5	ACSM5,ACADS,HSDL2,CS,ACSF2,ACSF3,HADHB,HAO2,ACAA2,ACADL,HADH
ACSM6	ACSM6	ACSM6,ACADS,HSDL2,CS,HADHB,ACOXL,ACSF2,ACAT1,OR10K2,OR10T2,ACOX2
ACSS1	ACSS1	ACSS1,SIRT3,CS,ACAT1,ACACA,ACOX1,ACOT12,ACOX3,ACAT2,ALDH3A2,ALDH2
ACSS2	ACSS2	ACSS2,CS,ACACA,ACACB,ACAT1,ACOT12,ACOX1,ACAT2,ACOX3,ALDH2,ACADS
ACSS3	ACSS3	ACSS3,ACOX1,ECHDC1,PCCB,PCCA,ACADS,ACOX3,ALDH6A1,DBT,ACAA2,ACSS2
ACTA1	ACTA1	ACTA1,VASP,TPM3,GSN,TNNC2,CFL1,TPM1,PFN1,ACTR2,LCP1,CFL2
ACTA2	ACTA2	ACTA2,MYH11,ACTG2,GC,MYL9,ACTC1,MYH10,TAGLN,MYH9,MYL6,MYL6B
ACTB	ACTB	ACTB,PFN3,ACTL6A,PFN1,ACTG1,CFL1,PFN4,SMARCA4,SMARCE1,CFL2,RUVBL2
ACTBL2	ACTBL2	ACTBL2,PFDN2,ACTB,PFDN1,TWF2,GSN,RUVBL2,RUVBL1,DMAP1,ACTL6A,ACTL6B
ACTC1	ACTC1	ACTC1,TPM1,MYH7,TNNT2,TPM3,MYBPC3,MYL3,MYL2,MYH6,GC,ACTA1
ACTG1	ACTG1	ACTG1,ACTB,CFL1,CFL2,PFN1,MYH14,PFN4,VCL,PFN3,WASL,MYH9
ACTG2	ACTG2	ACTG2,MYH11,ACTA2,MYL9,ACTA1,MYH9,MYH10,MYL6,ACTC1,MYL6B,CNN1
ACTL10	ACTL10	ACTL10,DCTN2,ACTR10,DCTN4,DCTN6,DCTN5,ACTR1B,ACTR1A,NECAB3,C20orf144,DCTN3
ACTL6A	ACTL6A	ACTL6A,EP400,SMARCB1,BRD7,SMARCC2,SMARCA2,RUVBL1,PBRM1,PHF10,SMARCC1,ACTB
ACTL6B	ACTL6B	ACTL6B,DPF1,DPF3,PHF10,SMARCC2,SMARCD1,SMARCB1,SMARCA2,SMARCE1,SMARCA4,ARID1A
ACTL7A	ACTL7A	ACTL7A,CTNNAL1,TES,ENAH,DCTN2,ACTR10,DCTN4,DCTN6,DCTN5,ACTR1B,ACTR1A
ACTL7B	ACTL7B	ACTL7B,CTNNAL1,DCTN2,ACTR10,DCTN4,DCTN6,DCTN5,ACTR1B,ACTR1A,DCTN3,ACTL7A
ACTL8	ACTL8	ACTL8,DCTN2,ACTR10,DCTN4,DCTN6,DCTN5,ACTR1A,ACTR1B,DCTN3,ACTG2,ACTC1
ACTL9	ACTL9	ACTL9,DCTN2,ACTR10,DCTN4,DCTN6,ACTR1A,ACTR1B,DCTN5,OVOL1,DCTN3,ACTL7A
ACTN1	ACTN1	ACTN1,VCL,ACTN4,ZYX,ACTB,ITGB1,CTNNA1,ACTG1,PDLIM1,ITGA5,PARVB
ACTN2	ACTN2	ACTN2,TTN,MYOZ1,MYOZ2,MYH7,ACTB,LDB3,MYH6,CSRP3,TCAP,PDLIM3
ACTN3	ACTN3	ACTN3,ACTN2,MYL1,TNNT3,MYOT,MYOZ1,ACTA1,MYH1,MYBPC2,TTN,TNNC2
ACTN4	ACTN4	ACTN4,VCL,ACTN1,NPHS1,MAGI1,SYNPO,ZYX,NPHS2,ACTB,ACTG1,PDLIM1
ACTR10	ACTR10	ACTR10,DCTN2,DCTN1,DCTN5,DCTN6,DCTN4,ACTR1A,DCTN3,ACTR1B,CAPZA1,ACTB
ACTR1A	ACTR1A	ACTR1A,DCTN4,DCTN5,DCTN6,DCTN2,ACTR10,DCTN1,DCTN3,DYNC1H1,ACTR1B,CAPZA1
ACTR1B	ACTR1B	ACTR1B,DCTN2,DCTN4,DCTN1,ACTR10,DCTN5,DCTN6,DCTN3,ACTR1A,CAPZB,CAPZA2
ACTR2	ACTR2	ACTR2,ARPC2,ARPC3,ACTR3B,ACTR3,ARPC1B,ARPC5L,ARPC4,WASL,ARPC5,ARPC1A
ACTR3	ACTR3	ACTR3,ARPC2,ARPC3,ARPC1B,ARPC4,WASL,ARPC5,ACTR2,ARPC1A,ARPC5L,HCLS1
ACTR3B	ACTR3B	ACTR3B,ACTR2,ARPC3,ARPC2,ARPC5L,ARPC5,ARPC4,ACTB,WASL,ARPC1B,ARPC1A
ACTR3C	ACTR3C	ACTR3C,ACTR2,ACTB,WASL,HCLS1,DCTN2,ACTG1,ARPC3,WASF2,WHAMM,DCTN4
ACTR5	ACTR5	ACTR5,RUVBL1,INO80E,INO80C,NFRKB,INO80,RUVBL2,INO80B,ACTR8,UCHL5,ACTL6A
ACTR6	ACTR6	ACTR6,SRCAP,RUVBL1,ZNHIT1,RUVBL2,DMAP1,EP400,VPS72,YEATS4,SF3B4,CFDP1
ACTR8	ACTR8	ACTR8,RUVBL1,ACTR5,RUVBL2,INO80C,ACTL6A,INO80,NFRKB,INO80E,UCHL5,INO80B
ACTRT2	ACTRT2	ACTRT2,ACTL9,OR2T34,CAPZA3,OR10J1,PDCL3,PRDM16,TSACC,C22orf23,MYL1,FAM186B
ACTRT3	ACTRT3	ACTRT3,LRRIQ4,MYNN,LRRC34,ACTR10,PFN3,DCTN2,DCTN1,DCTN4,ZNF888,LRRC31
ACVR1	ACVR1	ACVR1,BMP6,BMPR1A,BMP7,ACVR2A,BMPR2,FKBP1A,BMP4,BMPR1B,SMAD5,ACVR2B
ACVR1B	ACVR1B	ACVR1B,ACVR2B,TDGF1,ACVR2A,INHBA,MSTN,TGFBR1,ACVR1,SMAD2,ACVR1C,SMAD4
ACVR1C	ACVR1C	ACVR1C,GDF3,ACVR2B,ACVR2A,INHBB,GDF1,INHBA,SMAD2,TDGF1,NODAL,ACVR1B
ACVR2A	ACVR2A	ACVR2A,BMP7,BMP6,GDF11,INHBA,ACVR1,BMP2,BMPR1A,GDF2,ACVR1B,ACVR2B
ACVR2B	ACVR2B	ACVR2B,MSTN,ACVR1B,INHBA,GDF11,TGFBR1,BMP2,BMP7,ACVR2A,ACVR1C,GDF2
ACVRL1	ACVRL1	ACVRL1,ENG,BMP10,GDF2,BMPR2,ACVR2A,TGFBR2,TGFB3,ACVR1,TGFB1,ACVR2B
ACY1	ACY1	ACY1,ASPA,ARG2,ARG1,ABHD14A-ACY1,APEH,ASS1,SPHK1,ACY3,GLB1,NUDT1
ACY3	ACY3	ACY3,ACY1,ASPA,PMM2,GORASP2,NAT8L,DHRS9,ZNF705B,SKP1,SUSD3,RASAL3
ACYP1	ACYP1	ACYP1,ACOT12,ALDH9A1,ACYP2,ALDH1B1,ALDH3A2,ACSS2,ALDH7A1,ACSS1,ALDH2,NDUFAB1
ACYP2	ACYP2	ACYP2,ALDH1B1,ACOT12,ALDH9A1,ACSS2,ACYP1,ALDH2,ALDH3A2,ALDH7A1,ACSS1,ZNF208
ADA	ADA	ADA,DPP4,PNP,ADA2,ADK,NT5E,ADAR,DCK,NT5C,NT5M,NT5C2
ADA2	ADA2	ADA2,ADA,ADK,PNP,NT5E,NT5M,NT5C,NT5C3A,NT5C2,NT5C3B,DCK
ADAD1	ADAD1	ADAD1,KIAA1109,TAGAP,IL2,MYO9B,SH2B3,IL18R1,TOR1A,RGS1,TSNAXIP1,ADA
ADAD2	ADAD2	ADAD2,RAD21L1,M1AP,ADAT3,CBY3,MEIOB,TEX38,HENMT1,TERB1,NSUN7,ADAT2
ADAL	ADAL	ADAL,EPHX2,APRT,HINT1,GUK1,ADK,GMPS,NT5E,CTSA,RANBP1,MTAP
ADAM10	ADAM10	ADAM10,TSPAN33,DLG1,TSPAN14,TSPAN5,ADAM17,HBEGF,TSPAN15,APP,EFNA2,NOTCH1
ADAM11	ADAM11	ADAM11,LGI1,LGI4,LGI2,DLG4,LGI3,DLG2,NEGR1,DLG1,KANSL1L,ADAMTSL4
ADAM12	ADAM12	ADAM12,SH3PXD2A,TGFBR2,PIK3R1,SDC1,GRB2,ITGA7,PAPPA,HBEGF,FSTL3,SDC4
ADAM15	ADAM15	ADAM15,SNX9,SH3PXD2A,GRB2,SH3PXD2B,SRC,CDH1,SH3GL2,MAD2L2,HCK,NCK1
ADAM17	ADAM17	ADAM17,TIMP3,RHBDF2,HBEGF,ADAM10,NOTCH1,TNF,NOTCH2,NOTCH3,FURIN,NOTCH4
ADAM18	ADAM18	ADAM18,TMEM121,ATAD3C,ADAM30,WDR88,SERPINI2,ACP6,CRISP1,ZAN,GDE1,PRM2
ADAM19	ADAM19	ADAM19,SH3PXD2A,MAD2L2,REV3L,MAD2L1,REV1,SNX9,ADAM17,GSTCD,ITGB5,ADAM10
ADAM2	ADAM2	ADAM2,CLGN,ADAM20,ADAM21,ADAM30,SPAM1,CD9,ZP3,CAGE1,PRSS50,ZP1
ADAM20	ADAM20	ADAM20,ADAM2,ADAM30,ADAM21,SPAM1,OVGP1,ZP4,ZP2,ZP1,B4GALT1,ZP3
ADAM21	ADAM21	ADAM21,ADAM2,ADAM30,ADAM20,SPAM1,ZP4,ZP2,ZP1,B4GALT1,OVGP1,ZP3
ADAM22	ADAM22	ADAM22,LGI1,DLG4,ADAM23,LGI4,CACNG2,LGI3,DLG2,LGI2,ADAM28,CNTNAP2
ADAM23	ADAM23	ADAM23,LGI1,ADAM22,LGI3,LGI2,DLG4,LGI4,CACNG2,KCNA1,DLG2,MLF1
ADAM28	ADAM28	ADAM28,LGI1,ADAM22,LGI3,KCNA1,DLG4,ITGA4,LGI2,DLG2,ITGB1,ADAM12
ADAM29	ADAM29	ADAM29,FAM135B,SLC36A3,CCDC54,C2orf83,LRRD1,PRSS54,FAM166A,TRIML1,FAT2,PPID
ADAM30	ADAM30	ADAM30,ADAM2,ADAM20,ADAM21,SPAM1,CTSD,CDC123,CDKAL1,ZP2,ZP4,ADAMTS9
ADAM32	ADAM32	ADAM32,IZUMO2,IZUMO4,PLEKHA2,ADAMTSL3,C19orf71,ZPBP2,PLPP5,TSACC,C2CD6,C22orf23
ADAM33	ADAM33	ADAM33,PHF11,DPP10,NPSR1,IL4R,ORMDL3,SPINK5,HLA-G,PTGDR2,FCER1A,KCNS3
ADAM7	ADAM7	ADAM7,FN1,LCN9,ZNF511,DCXR,TEDDM1,GPX5,LCN8,CRISP1,CST11,ADAM2
ADAM8	ADAM8	ADAM8,MRPL13,ASB17,CP,PTAFR,MMP9,TGM6,ASB2,SRC,EIF3J,MMP25
ADAM9	ADAM9	ADAM9,SNX9,MAD2L2,PACSIN3,SH3GL2,MAD2L1,APP,COL17A1,ITGAV,ADAM10,GP6
ADAMDEC1	ADAMDEC1	ADAMDEC1,CXCL13,MMP12,PLA2G7,CXCL9,ZNF511,FURIN,CCL18,SLAMF8,MMP9,IL18
ADAMTS1	ADAMTS1	ADAMTS1,ACAN,FURIN,AREG,FBLN1,VCAN,COL18A1,THBS1,TIMP3,PTTG1IP,LOX
ADAMTS10	ADAMTS10	ADAMTS10,FBN1,LTBP1,LTBP2,FBN2,LTBP3,ADAMTSL2,B3GLCT,COL8A2,COL16A1,POFUT2
ADAMTS12	ADAMTS12	ADAMTS12,COMP,USF2,USF1,SNRK,FURIN,SCARB2,CD36,SCARB1,ADAMTS7,MYL6
ADAMTS13	ADAMTS13	ADAMTS13,VWF,GP1BA,CFH,CFHR1,CFHR3,HP,DGKE,C3,CFI,F3
ADAMTS14	ADAMTS14	ADAMTS14,SGPL1,COL1A2,COL27A1,COL5A1,FURIN,CNIH1,COL1A1,COL5A2,COL11A1,COL24A1
ADAMTS15	ADAMTS15	ADAMTS15,ACAN,FURIN,CD36,BCAN,SCARB2,THSD1,POFUT2,SCARB1,B3GLCT,SERPINE3
ADAMTS16	ADAMTS16	ADAMTS16,ACAN,IRX3,B3GLCT,NID1,PI15,POFUT2,GPC2,ISLR,SALL4,CREB3
ADAMTS17	ADAMTS17	ADAMTS17,FBN2,FBN1,B3GLCT,POFUT2,LTBP2,LTBP1,LTBP3,LOX,CERS3,MFAP4
ADAMTS18	ADAMTS18	ADAMTS18,B3GLCT,ACAN,FAM218A,ANKRD45,KIF25,SRPK2,ATP8A2,POFUT2,HIVEP3,CHD7
ADAMTS19	ADAMTS19	ADAMTS19,POFUT2,B3GLCT,SLC27A6,ISOC1,OR8A1,PRSS56,OR5M9,LRRC71,ANHX,OR9Q2
ADAMTS2	ADAMTS2	ADAMTS2,COL1A2,COL1A1,COL3A1,CCBE1,EFEMP2,COL5A1,COL5A2,FBLN5,ATP6V0A2,LOX
ADAMTS20	ADAMTS20	ADAMTS20,FURIN,B3GLCT,SCARB2,CD36,POFUT2,ACAN,SCARB1,SSBP2,SLC45A2,KITLG
ADAMTS3	ADAMTS3	ADAMTS3,ACAN,MMP13,MMP3,CCBE1,COL2A1,MMP1,FURIN,COL10A1,FN1,FBLN1
ADAMTS4	ADAMTS4	ADAMTS4,ACAN,BCAN,MMP13,MMP3,COL10A1,COL1A1,COL1A2,FN1,TIMP3,FURIN
ADAMTS5	ADAMTS5	ADAMTS5,ACAN,SDC4,BCAN,MMP13,MMP3,TIMP3,COL2A1,RUNX2,IL1B,IHH
ADAMTS6	ADAMTS6	ADAMTS6,FURIN,FBN2,FBN1,LTBP1,POFUT2,LOX,PPWD1,KRTAP20-3,SDC4,B3GLCT
ADAMTS7	ADAMTS7	ADAMTS7,COMP,FURIN,PHACTR1,GRN,A2M,ADAMTS12,COL4A2,B3GLCT,MMP9,HHIPL1
ADAMTS8	ADAMTS8	ADAMTS8,COL18A1,ACAN,BCAN,ADAMTS2,HAPLN4,POFUT2,ADAMTS4,SCARB2,SCARB1,CD36
ADAMTS9	ADAMTS9	ADAMTS9,ACAN,CDKAL1,B3GLCT,CDC123,JAZF1,TSPAN8,FURIN,CAMK1D,POFUT2,VCAN
ADAMTSL1	ADAMTSL1	ADAMTSL1,B3GLCT,POFUT2,MTAP,TYRP1,HSD17B8,FBN2,TSR1,CHPT1,DPY19L1,WDCP
ADAMTSL2	ADAMTSL2	ADAMTSL2,LTBP1,FBN1,POFUT2,B3GLCT,ADAMTS10,ADAMTS2,TBRG1,SLC8A2,MFAP4,COL16A1
ADAMTSL3	ADAMTSL3	ADAMTSL3,MIPOL1,KIAA1328,ASTN2,FRK,WDPCP,TMEM212,RPAP2,MAB21L3,HSD17B11,LTBP1
ADAMTSL4	ADAMTSL4	ADAMTSL4,FBN1,B3GLCT,LTBP1,LTBP2,LOX,LTBP3,FBN2,P3H2,COL16A1,AQP1
ADAMTSL5	ADAMTSL5	ADAMTSL5,FBN2,FBN1,PLA2G4D,CAMP,TMEM184B,HLA-C,DOK4,CD8A,B3GLCT,ADAM33
ADAP1	ADAP1	ADAP1,KIF13B,NCL,ARF6,NRDC,ERBB4,PLEK2,PLEK,ARF1,RANBP9,KIF13A
ADAP2	ADAP2	ADAP2,RNF135,EVI2A,EVI2B,NF1,CRLF3,UTP6,LRRC37B,SUZ12,PLEK,TEFM
ADAR	ADAR	ADAR,DICER1,AXIN1,UPF1,ADA,DHX9,GSK3B,EIF2AK2,SAMHD1,IFIH1,AGO2
ADARB1	ADARB1	ADARB1,BMP7,SYCP2,ADA,GRIA2,POFUT2,SYCP3,REC8,SLC39A1,MEI4,PRKRA
ADARB2	ADARB2	ADARB2,ADA,GRIA2,ALYREF,PURA,SRSF2,HNRNPA3,GSR,NCL,HNRNPH1,HNRNPA1
ADAT1	ADAT1	ADAT1,ADAT3,ADAT2,AARSD1,PTGES3L-AARSD1,TRMT5,TERF2IP,IPPK,QPCTL,DUXA,PTPA
ADAT2	ADAT2	ADAT2,ADAT3,ADAT1,TYMS,RPSA,GTF2H1,NT5E,TK1,EP300,GNRH2,RPA1
ADAT3	ADAT3	ADAT3,ADAT2,ADAT1,SMUG1,TYMS,TK1,WDR4,NT5E,ADAR,TRMT5,HDDC2
ADCK1	ADCK1	ADCK1,COQ3,COQ6,ADCK2,COQ5,COQ9,COQ4,NDUFV2,NDUFS3,PDSS2,COQ7
ADCK2	ADCK2	ADCK2,COQ3,COQ8A,COQ8B,PRPF38A,COQ5,COQ4,COG3,ADCK1,COQ9,ADCK5
ADCK5	ADCK5	ADCK5,COQ3,FBXL6,MFSD3,CPSF1,COQ4,COQ5,MROH1,ADCK2,SLC52A2,LRRC14
ADCY1	ADCY1	ADCY1,GNAS,CALML5,CALML4,CALML6,CALM3,CALML3,PRKACG,RAPGEF3,PRKACB,PRKACA
ADCY10	ADCY10	ADCY10,PRKACG,PRKACA,PRKACB,GNAS,CNR1,ENTPD2,ITPA,NTPCR,NUDT2,PKM
ADCY2	ADCY2	ADCY2,GNAS,GNAL,RAPGEF4,RAPGEF3,PRKCD,CNR1,ENTPD2,NUDT2,NTPCR,ITPA
ADCY3	ADCY3	ADCY3,GNAL,PRKACA,RGS2,GNAS,PRKACB,PRKACG,CALM3,CALML4,CALML3,CALML5
ADCY4	ADCY4	ADCY4,GNAL,RAPGEF4,GNAS,ADCY6,ADCY8,RAPGEF3,PRKCD,CNR1,ENTPD2,NTPCR
ADCY5	ADCY5	ADCY5,PRKACA,AKAP5,RAPGEF3,GNAS,GNAL,PRKACB,PRKACG,ADCY6,RAPGEF4,GNAI1
ADCY6	ADCY6	ADCY6,RAPGEF4,GNAS,ADCY5,ADCY9,RAPGEF3,ADCY4,GNAI1,GNAI2,GNAI3,ADCY3
ADCY7	ADCY7	ADCY7,GNAL,RAPGEF4,GNAS,RAPGEF3,PRKCD,ENTPD2,CNR1,NUDT2,NTPCR,SLC5A2
ADCY8	ADCY8	ADCY8,CALM3,CALML3,CALML5,CALML4,CALML6,PRKACG,PRKACA,RAPGEF4,GNAL,PRKACB
ADCY9	ADCY9	ADCY9,GNAS,GNAL,ADCY6,PRKACB,PRKACG,PRKACA,KCNQ1,RAPGEF4,RAPGEF3,ADCY3
ADCYAP1	ADCYAP1	ADCYAP1,VIPR1,ADCYAP1R1,VIPR2,SCT,GIPR,GLP1R,FSHR,DRD1,ADRB1,HTR6
ADCYAP1R1	ADCYAP1R1	ADCYAP1R1,ADCYAP1,VIP,GNAS,GNB1,GNG2,GCG,SCT,NTRK2,GNG7,GHRH
ADD1	ADD1	ADD1,EPB41,DMTN,ADD2,ANK2,ANK1,ANK3,ADD3,TMOD1,TMOD4,TMOD2
ADD2	ADD2	ADD2,DMTN,EPB41,ADD1,ANK2,ANK1,ANK3,TMOD4,TMOD1,TMOD2,TMOD3
ADD3	ADD3	ADD3,EPB41,DMTN,ANK2,ANK1,ADD1,ANK3,TMOD4,TMOD1,TMOD3,TMOD2
ADGB	ADGB	ADGB,NGB,CYGB,MB,LRGUK,GBE1,CCDC149,IQCA1,TTC29,OR9A2,WDR63
ADGRA1	ADGRA1	ADGRA1,SCTR,KNDC1,ADGRG5,ADGRL1,ADGRF2,ADGRL2,ADGRG3,ADGRL3,ADGRG7,ADGRF1
ADGRA2	ADGRA2	ADGRA2,LRP5,CTNNB1,LRP6,FZD4,DLG1,GSK3B,WNT3,WNT7A,LRRK2,RECK
ADGRA3	ADGRA3	ADGRA3,ADGRL1,ZBTB16,GFRA1,ADGRF2,ADGRL2,ADGRL3,ADGRG5,DDX4,ADGRG3,DAZL
ADGRB1	ADGRB1	ADGRB1,ELMO2,BAIAP2,DOCK1,ELMO1,RANBP2,BAIAP3,STAB2,TIMD4,RTN4R,MAGI1
ADGRB2	ADGRB2	ADGRB2,RANBP2,RANGAP1,MAGI1,DOCK1,XPOT,KPNB1,CSE1L,RANGRF,EIF5A,EIF5AL1
ADGRB3	ADGRB3	ADGRB3,RANBP2,C1QL3,C1QL1,GRM8,ELMO1,RANGAP1,GNAS,DOCK1,STAB2,XPOT
ADGRD1	ADGRD1	ADGRD1,GNB1,RANBP2,RANGAP1,XPO1,XPOT,CSE1L,KPNB1,GNG2,RANGRF,IPO4
ADGRE1	ADGRE1	ADGRE1,SCT,CD68,CSF1R,CD55,AIF1,LY86,CTSS,PTPRC,TNF,TREM2
ADGRE2	ADGRE2	ADGRE2,CD55,LPAR1,GNA12,CD59,ITGAM,CD33,SCT,CD44,CXADR,TLR4
ADGRE3	ADGRE3	ADGRE3,CD55,CEACAM3,EGF,FPR2,FCGR3B,CCNB1IP1,ARL14EP,CMTM2,C19orf67,CD48
ADGRE5	ADGRE5	ADGRE5,CD55,LPAR1,GNA12,CD59,THY1,SCT,CXADR,CD44,ITGAM,CD46
ADGRF1	ADGRF1	ADGRF1,GNB1,GNAI1,GNG2,ADGRA1,ADGRA2,GPR18,GPR55,TRPV1,GPR87,TRPM8
ADGRF2	ADGRF2	ADGRF2,ADGRA3,ADGRA1,ADGRA2,CD2AP,NPHP3-ACAD11,C3AR1,LRRC46,ADGRV1,MCCD1,CATSPERG
ADGRF3	ADGRF3	ADGRF3,ADGRA1,CD164L2,OR51T1,OR10H3,OR1N2,ADGRA3,MEP1B,OR52N5,OR6N1,OR6X1
ADGRF4	ADGRF4	ADGRF4,ADGRA1,ADGRA3,ADGRA2,WFDC5,C5orf46,GPR87,CD2AP,ZNF530,ZNF491,OR4C46
ADGRF5	ADGRF5	ADGRF5,SFTPC,SFTPB,RAMP2,PTPRB,CDH5,FNDC4,EMCN,MMRN2,ADGRA1,ROBO4
ADGRG1	ADGRG1	ADGRG1,GNA13,GNA12,GNG2,GNB1,TGM2,GNAQ,CD9,COL3A1,ARRB2,SCT
ADGRG3	ADGRG3	ADGRG3,GNB1,GNG2,GNAO1,ADGRA1,ADGRA3,CXCR1,FPR2,PGLYRP1,CSF3R,MCEMP1
ADGRG5	ADGRG5	ADGRG5,GNB1,GNG2,ADGRA1,ADGRA3,ADGRD1,GNA12,GNAS,GNAL,ADGRG3,GNA13
ADGRG6	ADGRG6	ADGRG6,POU3F1,NAALADL1,SELL,SBF2,NPR3,LIN28B,MCM6,EGR2,UCHL1,FLNB
ADGRG7	ADGRG7	ADGRG7,ADGRA1,LDLRAD1,GNAL,GNAS,RNF25,TFG,TMEM244,USF3,CAPN12,GNA12
ADGRL1	ADGRL1	ADGRL1,TENM2,TENM4,TENM3,UNC5A,UNC5C,UNC5D,UNC5CL,SLC35A1,VEGFB,SZRD1
ADGRL2	ADGRL2	ADGRL2,TENM2,TENM4,TENM3,UNC5D,UNC5A,UNC5C,GNB2,UNC5CL,SZRD1,GNB1
ADGRL3	ADGRL3	ADGRL3,FLRT3,TENM2,UNC5D,TENM4,TENM3,UNC5C,UNC5A,SZRD1,UNC5CL,VEGFB
ADGRL4	ADGRL4	ADGRL4,EMCN,MYCT1,EDNRA,EDNRB,DLL4,CLEC14A,SCT,ADGRF5,TEK,KDR
ADGRV1	ADGRV1	ADGRV1,WHRN,PDZD7,USH2A,USH1C,CDH23,USH1G,MYO7A,PCDH15,VEZT,CLRN1
ADH1A	ADH1A	ADH1A,ADH1B,ADH1C,ALDH2,CYP2E1,AVP,ALDH1A1,AOX1,CYP26A1,LRAT,RETSAT
ADH1B	ADH1B	ADH1B,ALDH2,ADH1A,CYP2E1,ADH1C,AVP,AOX1,ALDH1A1,COMT,CYP26A1,LRTOMT
ADH1C	ADH1C	ADH1C,ALDH2,ADH1B,ADH1A,CYP2E1,AVP,AOX1,COMT,CYP26A1,ALDH1A1,LRAT
ADH4	ADH4	ADH4,ALDH2,CYP2E1,ALDH1A1,AVP,AOX1,CYP26A1,RETSAT,LRAT,COMT,DGAT1
ADH5	ADH5	ADH5,ESD,ALDH2,CYP26A1,CYP2E1,AOX1,LRAT,AVP,RETSAT,DGAT1,COMT
ADH6	ADH6	ADH6,ALDH2,CYP2E1,CYP26A1,AVP,COMT,AOX1,ALDH1A1,LRAT,RETSAT,DGAT1
ADH7	ADH7	ADH7,ALDH2,AVP,CYP2E1,COMT,CYP26A1,LRAT,AOX1,ALDH1A1,RETSAT,ALDH3A1
ADHFE1	ADHFE1	ADHFE1,HSDL2,SORD,CMBL,NDUFS8,AGXT,AVP,DERA,MGLL,ADH7,ADH6
ADI1	ADI1	ADI1,ENOPH1,APIP,TAT,MMP14,IL4I1,MRI1,RNASEH1,APPL1,MTHFR,BHMT2
ADIG	ADIG	ADIG,PPARG,CIDEC,ADIPOQ,RALGAPB,LEP,PLIN4,CFD,TNF,PPP1R16B,RETN
ADIPOQ	ADIPOQ	ADIPOQ,ADIPOR2,ADIPOR1,CDH13,LEP,CFD,RETN,PPARG,INS,PLIN1,PPARGC1A
ADIPOR1	ADIPOR1	ADIPOR1,ADIPOQ,APPL1,ADIPOR2,LEP,CDH13,IGF1R,PPARA,SRC,INS,RETN
ADIPOR2	ADIPOR2	ADIPOR2,ADIPOQ,APPL1,ADIPOR1,PPARA,LEP,CDH13,RETN,NAMPT,PPARGC1A,INS
ADIRF	ADIRF	ADIRF,PPARG,TMEM256,PCDHB2,MMRN2,FAM25A,CXCL14,IL18,LMNA,TAF1D,SYF2
ADK	ADK	ADK,APRT,ADA,PNP,AMPD3,AMPD2,ADSL,AMPD1,AK2,NT5E,AK1
ADM	ADM	ADM,RAMP3,RAMP2,CALCRL,RAMP1,IAPP,CALCR,CALCB,CALCA,GPR182,MRGPRX2
ADM2	ADM2	ADM2,CALCRL,RAMP3,RAMP1,ADM,RAMP2,GNAS,IAPP,MIOX,GNG2,GNB1
ADM5	ADM5	ADM5,ADM2,PRR22,ADM,MAP2K2,TTC9,RASEF,TMEM65,RAMP1,ST20-MTHFS,ZSWIM4
ADNP	ADNP	ADNP,CHD4,CBX3,CBX1,CHD8,CBX5,ZBTB14,ARID1A,BPTF,SMARCC2,POGZ
ADNP2	ADNP2	ADNP2,CBX1,CBX3,CHD4,ZNF407,GTF3C4,RRP36,CBX5,ADNP,PLAGL2,USF3
ADO	ADO	ADO,CDO1,CSAD,GADL1,GAD2,GAD1,FAM76B,TATDN2,ATMIN,C3,SLC6A6
ADORA1	ADORA1	ADORA1,GNAI2,GNB1,GNAI1,KNG1,GNAI3,ADORA3,SLC29A1,ADA,GNG2,ADORA2A
ADORA2A	ADORA2A	ADORA2A,DRD2,GNAS,GRM5,GNAQ,CNR1,GNAL,NTRK2,ADORA2B,GNB1,POMC
ADORA2B	ADORA2B	ADORA2B,GNAS,ADORA2A,GNAQ,NTN1,GNAL,ENTPD1,NT5E,ADCY5,GNB3,UNC5B
ADORA3	ADORA3	ADORA3,GNAI2,GNAI1,KNG1,GNAI3,ADORA1,LTBP2,LTBP3,LTBP1,ADA,P2RY2
ADPGK	ADPGK	ADPGK,GPI,GCK,PGM2,HK1,HK3,HK2,HKDC1,ALDOA,G6PC3,GALM
ADPRH	ADPRH	ADPRH,ADPRHL2,ART5,MACROD2,TRIM72,ITGA7,ART1,MACROD1,NECAP2,OARD1,CUL1
ADPRHL1	ADPRHL1	ADPRHL1,GRTP1,DCUN1D2,TMCO3,LSMEM2,ABTB1,ZNF541,CUL1,CUL3,CACUL1,HSPB7
ADPRHL2	ADPRHL2	ADPRHL2,PARG,PARP1,MACROD1,MACROD2,OARD1,HPF1,NUDT16,TRPT1,PARP10,PARP2
ADPRM	ADPRM	ADPRM,GPAM,GPD2,PRPS1L1,GPD1,NUDT5,PGM2,GPD1L,GPAT4,GPAT3,NUDT9
