GeneSet	DESC	GeneSet,Genes
ACOT11	ACOT11	ACOT11,ACOT13,SLCO1A2,CWC25,ACOT12,ACOT1,ETFA,PGM2,C1orf109,LIX1,RUBCNL
ACOT12	ACOT12	ACOT12,ACSS2,ACSS1,ACAT1,ACAT2,ACYP1,ACACA,ALDH1B1,ACYP2,ALDH2,ALDH9A1
ACOT13	ACOT13	ACOT13,PCTP,KIAA0319,TDP2,DCDC2,UBIAD1,ACOT11,ACOT7,ACOT1,ACOT12,ACOT8
ACOT2	ACOT2	ACOT2,ACOT1,ACOT8,ACOT7,THEM5,THEM4,ACOT4,PFKL,TECR,FBP1,PFKM
ACOT4	ACOT4	ACOT4,ACOT7,THEM4,ACOT2,FBP1,THEM5,ACOT1,TECR,FBP2,PFKL,PFKM
ACOT6	ACOT6	ACOT6,ACOT8,ACOT12,ACOT13,ZNF789,ACOT7,ACOT11,MGLL,POU1F1,CAPN1,MAP2K7
ACOT7	ACOT7	ACOT7,ACOT1,ACOT2,ACOT4,THEM5,THEM4,TECR,ACOT13,GAPDH,CIB1,ETFA
ACOT8	ACOT8	ACOT8,ACOT2,ACOT1,SCP2,BAAT,SLC27A5,HADH,PEX5,CRYL1,HSD17B4,PPARA
ACOX1	ACOX1	ACOX1,ACAA1,HSD17B4,EHHADH,HADHB,ECHS1,ACAA2,SCP2,CPT2,HADHA,ACADL
ACOX2	ACOX2	ACOX2,HSD17B4,AMACR,ACAA1,ACOX3,ECI2,EHHADH,SCP2,ACOX1,PEX5,HSDL2
ACOX3	ACOX3	ACOX3,ACAA1,EHHADH,ECHS1,HADHB,HSD17B4,ACAA2,SCP2,HADHA,ACAT1,ACADL
ACOXL	ACOXL	ACOXL,ECI2,HSDL2,ACOX2,ETFA,ETFB,SCP2,HADH,CRYL1,ECHS1,HSD17B4
ACP1	ACP1	ACP1,OCA2,FLAD1,GLRX,OSGEPL1,TKTL2,GLRX2,OSGEP,PTS,CTNNB1,TKT
ACP5	ACP5	ACP5,TNFSF11,NFATC1,ENPP1,CTSK,RFK,BLVRB,ENPP3,FLAD1,BGLAP,DCSTAMP
ACP6	ACP6	ACP6,PRKAB2,GPR89B,CHD1L,FMO5,GPR89A,GJA8,BCL9,ACP7,PDIA3,GJA5
ACP7	ACP7	ACP7,NUDT12,ACP5,NADK,ACP6,ALDH18A1,NUDT13,FAM169A,WDR31,MRAS,IP6K3
ACPP	ACPP	ACPP,KLK3,KLK2,KLKB1,MSMB,SLC45A3,TGM4,GBA,ANO7,AZGP1,STEAP2
ACR	ACR	ACR,ZP2,IZUMO1,SPATA16,TNP1,SPINK2,ACRBP,BOLL,IZUMO4,ZP3,ZP4
ACRBP	ACRBP	ACRBP,TUBB1,TREML1,GP9,LIPI,ZPBP2,ACR,ZPBP,SPA17,ITGA2B,ADAM2
